Budget,Program,Bill,Status,Description
Enhancement,<i>General Government</i><br>Dept. of Revenue & Taxation<br><b>Board of Tax Appeals</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Dept. of Revenue & Taxation<br><b>State Tax Commission</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Commission for the Blind & Visually Impaired</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Commission on Aging</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Commission on the Arts</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Div. of Financial Management</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Div. of Human Resources</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Military Division</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Office of Drug Policy</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Office of Energy & Mineral Resources</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Office of Information Technology Services</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Office of Species Conservation</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Public Employee Retirement System</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>State Liquor Division</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>STEM Action Center</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Wolf Depredation Control Board</b>,☐,☐,☐
Enhancement,<i>General Government</i><br>Office of the Governor<br><b>Workforce Development Council</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br><b>State Independent Living Council</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Child Welfare</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Div. of Medicaid</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Div. of Welfare</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Independent Councils</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Indirect Support Services</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Licensing & Certification</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Mental Health Services</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Psychiatric Hospitalization</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Public Health Services</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Service Integration</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Services for the Developmentally Disabled</b>,☐,☐,☐
Enhancement,<i>Health & Human Services</i><br>Dept. of Health & Welfare<br><b>Substance Abuse Treatment & Prevention</b>,☐,☐,☐
Enhancement,<i>Judicial Branch</i><br><b>Court Operations</b>,☐,☐,☐
Enhancement,<i>Judicial Branch</i><br><b>Guardian Ad Litem Program</b>,☐,☐,☐
Enhancement,<i>Judicial Branch</i><br><b>Judicial Council</b>,☐,☐,☐
Enhancement,<i>Legislative Branch</i><br><b>Legislative Services Office</b>,☐,☐,☐
Enhancement,<i>Legislative Branch</i><br><b>Legislative Technology</b>,☐,☐,☐
Enhancement,<i>Legislative Branch</i><br><b>Legislature</b>,☐,☐,☐
Enhancement,<i>Legislative Branch</i><br><b>Office of Performance Evaluations</b>,☐,☐,☐
Enhancement,<i>Natural Resources</i><br><b>Dept. of Environmental Quality</b>,☐,☐,☐
Enhancement,<i>Natural Resources</i><br><b>Dept. of Fish & Game</b>,☐,☐,☐
Enhancement,<i>Natural Resources</i><br><b>Dept. of Parks & Recreation</b>,☐,☐,☐
Enhancement,<i>Natural Resources</i><br><b>Dept. of Water Resources</b>,☐,☐,☐
Enhancement,<i>Natural Resources</i><br>Land Board<br><b>Dept. of Lands</b>,☐,☐,☐
Enhancement,<i>Natural Resources</i><br>Land Board<br><b>Endowment Fund Investment Board</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br><b>Dept. of Juvenile Corrections</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br><b>Idaho State Police</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Dept. of Correction<br><b>Community Corrections</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Dept. of Correction<br><b>Community-Based SUDS Treatment</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Dept. of Correction<br><b>County & Out-of-State Placement</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Dept. of Correction<br><b>Management Services</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Dept. of Correction<br><b>Medical Services</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Dept. of Correction<br><b>State Prisons</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Idaho State Police<br><b>Brand Inspection</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Idaho State Police<br><b>POST Academy</b>,☐,☐,☐
Enhancement,<i>Public Safety</i><br>Idaho State Police<br><b>Racing Commission</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Administrators</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Central Services</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Children's Programs</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Facilities</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Idaho Digital Learning Academy</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Operations</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Services for the Deaf & the Blind</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Student Support</b>,☐,☐,☐
Enhancement,<i>Public Schools</i><br><b>Teachers</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Agricultural Research & Extension Service</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Career Technical Education</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Charter School Commission</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>College & Universities</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Community Colleges</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Dept. of Education</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Health Education Programs</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Idaho Public Television</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Office of the State Board of Education</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Special Programs</b>,☐,☐,☐
Enhancement,<i>State Board of Education</i><br><b>Vocational Rehabilitation</b>,☐,☐,☐
